nohup: ignoring input
第 206 轮, 损失: 7.5394, val loss 4.5231
第 207 轮, 损失: 7.9959, val loss 4.4278
第 208 轮, 损失: 9.5036, val loss 4.4647
第 209 轮, 损失: 5.9301, val loss 4.4325
第 210 轮, 损失: 6.4973, val loss 4.4225
第 211 轮, 损失: 7.0428, val loss 4.5095
第 212 轮, 损失: 10.6591, val loss 4.5136
第 213 轮, 损失: 7.6364, val loss 4.4429
第 214 轮, 损失: 6.5318, val loss 4.4305
第 215 轮, 损失: 4.7282, val loss 4.4594
第 216 轮, 损失: 6.5690, val loss 4.421
第 217 轮, 损失: 8.8834, val loss 4.4593
第 218 轮, 损失: 8.9065, val loss 4.398
第 219 轮, 损失: 5.1404, val loss 4.4488
第 220 轮, 损失: 9.3188, val loss 4.4047
第 221 轮, 损失: 5.6580, val loss 4.3769
第 222 轮, 损失: 5.9272, val loss 4.3821
第 223 轮, 损失: 5.0119, val loss 4.385
第 224 轮, 损失: 4.6949, val loss 4.3701
第 225 轮, 损失: 6.3225, val loss 4.3721
第 226 轮, 损失: 5.9023, val loss 4.33
第 227 轮, 损失: 11.4002, val loss 4.4018
第 228 轮, 损失: 3.0275, val loss 4.3373
第 229 轮, 损失: 5.2499, val loss 4.4256
第 230 轮, 损失: 10.0370, val loss 4.3341
第 231 轮, 损失: 10.2534, val loss 4.3522
第 232 轮, 损失: 9.7976, val loss 4.3841
第 233 轮, 损失: 9.2610, val loss 4.3829
第 234 轮, 损失: 9.3083, val loss 4.3221
第 235 轮, 损失: 6.9574, val loss 4.3279
第 236 轮, 损失: 10.5147, val loss 4.424
第 237 轮, 损失: 7.0473, val loss 4.2821
第 238 轮, 损失: 9.1760, val loss 4.298
第 239 轮, 损失: 13.7913, val loss 4.3478
第 240 轮, 损失: 8.1908, val loss 4.351
第 241 轮, 损失: 5.1646, val loss 4.3539
第 242 轮, 损失: 8.2183, val loss 4.3788
第 243 轮, 损失: 10.5654, val loss 4.2881
第 244 轮, 损失: 7.0669, val loss 4.3099
第 245 轮, 损失: 6.6146, val loss 4.2899
第 246 轮, 损失: 7.1101, val loss 4.2975
第 247 轮, 损失: 7.5098, val loss 4.2659
第 248 轮, 损失: 6.7865, val loss 4.3394
第 249 轮, 损失: 7.7074, val loss 4.3568
第 250 轮, 损失: 7.7675, val loss 4.2677
第 251 轮, 损失: 7.7767, val loss 4.2575
第 252 轮, 损失: 7.0888, val loss 4.3253
第 253 轮, 损失: 5.4006, val loss 4.2954
第 254 轮, 损失: 8.6518, val loss 4.2189
第 255 轮, 损失: 6.7689, val loss 4.3248
第 256 轮, 损失: 7.6054, val loss 4.2717
第 257 轮, 损失: 8.7777, val loss 4.2822
第 258 轮, 损失: 8.2628, val loss 4.2102
第 259 轮, 损失: 7.8817, val loss 4.2693
第 260 轮, 损失: 1.8902, val loss 4.2505
第 261 轮, 损失: 6.3088, val loss 4.2493
第 262 轮, 损失: 5.0789, val loss 4.2106
第 263 轮, 损失: 4.1447, val loss 4.3103
第 264 轮, 损失: 6.1825, val loss 4.1838
第 265 轮, 损失: 5.4765, val loss 4.2715
第 266 轮, 损失: 6.8456, val loss 4.2353
第 267 轮, 损失: 6.3546, val loss 4.2241
第 268 轮, 损失: 5.8068, val loss 4.2087
第 269 轮, 损失: 12.0094, val loss 4.2149
第 270 轮, 损失: 8.6502, val loss 4.3023
第 271 轮, 损失: 5.7089, val loss 4.1483
第 272 轮, 损失: 2.8067, val loss 4.2053
第 273 轮, 损失: 7.5886, val loss 4.1992
第 274 轮, 损失: 8.0686, val loss 4.1923
第 275 轮, 损失: 6.3596, val loss 4.1526
第 276 轮, 损失: 3.3875, val loss 4.2187
第 277 轮, 损失: 29.9180, val loss 4.1108
第 278 轮, 损失: 4.6820, val loss 4.2766
第 279 轮, 损失: 9.4204, val loss 4.1714
第 280 轮, 损失: 13.4980, val loss 4.2096
第 281 轮, 损失: 6.4911, val loss 4.104
第 282 轮, 损失: 5.7633, val loss 4.1914
第 283 轮, 损失: 6.8976, val loss 4.1157
第 284 轮, 损失: 6.8771, val loss 4.2686
第 285 轮, 损失: 12.0418, val loss 4.0888
第 286 轮, 损失: 4.9004, val loss 4.1656
第 287 轮, 损失: 14.9025, val loss 4.107
第 288 轮, 损失: 4.0386, val loss 4.0773
第 289 轮, 损失: 7.6472, val loss 4.0991
第 290 轮, 损失: 12.3405, val loss 4.1687
第 291 轮, 损失: 5.7216, val loss 4.1293
第 292 轮, 损失: 2.7411, val loss 4.0496
第 293 轮, 损失: 8.2671, val loss 4.2032
第 294 轮, 损失: 7.8295, val loss 4.1482
第 295 轮, 损失: 10.5122, val loss 4.1494
第 296 轮, 损失: 10.3443, val loss 4.1713
第 297 轮, 损失: 11.1508, val loss 4.1359
第 298 轮, 损失: 7.8140, val loss 4.2159
第 299 轮, 损失: 6.9891, val loss 4.083
第 300 轮, 损失: 3.5310, val loss 4.1322
第 301 轮, 损失: 6.5922, val loss 4.1746
第 302 轮, 损失: 1.4395, val loss 4.0613
第 303 轮, 损失: 7.5700, val loss 4.0755
第 304 轮, 损失: 5.5913, val loss 4.1263
第 305 轮, 损失: 5.9488, val loss 4.0826
第 306 轮, 损失: 8.9905, val loss 4.0281
第 307 轮, 损失: 9.1046, val loss 4.0342
第 308 轮, 损失: 8.3370, val loss 4.1015
第 309 轮, 损失: 4.5691, val loss 4.0391
第 310 轮, 损失: 6.6246, val loss 4.0534
第 311 轮, 损失: 3.3838, val loss 4.1487
第 312 轮, 损失: 6.4501, val loss 4.0852
第 313 轮, 损失: 7.5971, val loss 4.1896
第 314 轮, 损失: 18.4606, val loss 4.0069
第 315 轮, 损失: 4.3021, val loss 4.1957
第 316 轮, 损失: 10.5045, val loss 4.0323
第 317 轮, 损失: 8.4819, val loss 4.026
第 318 轮, 损失: 11.3298, val loss 4.035
第 319 轮, 损失: 4.3564, val loss 3.9522
第 320 轮, 损失: 6.9848, val loss 4.0353
第 321 轮, 损失: 10.8059, val loss 3.9888
第 322 轮, 损失: 4.4792, val loss 4.118
第 323 轮, 损失: 9.3137, val loss 4.0138
第 324 轮, 损失: 7.9018, val loss 4.0568
第 325 轮, 损失: 7.7203, val loss 3.9477
第 326 轮, 损失: 6.7917, val loss 4.0349
第 327 轮, 损失: 9.3965, val loss 4.1095
第 328 轮, 损失: 7.4231, val loss 4.123
第 329 轮, 损失: 5.6452, val loss 3.9549
第 330 轮, 损失: 9.5086, val loss 4.0022
第 331 轮, 损失: 9.5438, val loss 4.0105
第 332 轮, 损失: 3.9976, val loss 4.0928
第 333 轮, 损失: 5.1927, val loss 3.9818
第 334 轮, 损失: 15.6578, val loss 3.9315
第 335 轮, 损失: 6.8835, val loss 3.985
第 336 轮, 损失: 9.1028, val loss 3.9481
第 337 轮, 损失: 4.2310, val loss 3.9719
第 338 轮, 损失: 11.7315, val loss 4.1225
第 339 轮, 损失: 6.1249, val loss 3.9422
第 340 轮, 损失: 9.2267, val loss 3.9157
第 341 轮, 损失: 7.1702, val loss 3.964
第 342 轮, 损失: 6.1840, val loss 3.9176
第 343 轮, 损失: 4.4116, val loss 3.9388
第 344 轮, 损失: 11.4301, val loss 3.912
第 345 轮, 损失: 9.9430, val loss 3.9345
第 346 轮, 损失: 6.1128, val loss 3.9135
第 347 轮, 损失: 5.5523, val loss 3.9578
第 348 轮, 损失: 4.0675, val loss 3.9598
第 349 轮, 损失: 9.1417, val loss 3.934
第 350 轮, 损失: 11.1074, val loss 3.9274
第 351 轮, 损失: 9.9239, val loss 3.9393
第 352 轮, 损失: 3.3430, val loss 3.9474
第 353 轮, 损失: 9.8392, val loss 4.0178
第 354 轮, 损失: 4.5756, val loss 3.9
第 355 轮, 损失: 14.9101, val loss 3.8287
第 356 轮, 损失: 5.7592, val loss 3.9328
第 357 轮, 损失: 9.5009, val loss 3.9318
第 358 轮, 损失: 5.3906, val loss 3.8763
第 359 轮, 损失: 9.6154, val loss 3.9791
第 360 轮, 损失: 7.1837, val loss 3.7995
第 361 轮, 损失: 3.6160, val loss 3.8718
第 362 轮, 损失: 12.0125, val loss 3.8426
第 363 轮, 损失: 5.5187, val loss 3.9139
第 364 轮, 损失: 32.0536, val loss 3.8409
第 365 轮, 损失: 8.5112, val loss 3.9609
第 366 轮, 损失: 6.2940, val loss 3.9479
第 367 轮, 损失: 9.1981, val loss 3.8874
第 368 轮, 损失: 7.0934, val loss 3.9033
第 369 轮, 损失: 6.7713, val loss 3.9298
第 370 轮, 损失: 10.1920, val loss 3.8003
第 371 轮, 损失: 4.7864, val loss 3.9443
第 372 轮, 损失: 12.0350, val loss 3.8572
第 373 轮, 损失: 9.8259, val loss 3.8603
第 374 轮, 损失: 7.3821, val loss 3.8025
第 375 轮, 损失: 3.7212, val loss 3.8074
第 376 轮, 损失: 6.7246, val loss 3.8229
第 377 轮, 损失: 3.8819, val loss 3.8525
第 378 轮, 损失: 6.3526, val loss 3.9558
第 379 轮, 损失: 3.8922, val loss 3.7957
第 380 轮, 损失: 6.4958, val loss 3.8174
第 381 轮, 损失: 10.2631, val loss 3.8654
第 382 轮, 损失: 7.5378, val loss 3.7836
第 383 轮, 损失: 5.4902, val loss 3.8964
第 384 轮, 损失: 7.1224, val loss 3.7633
第 385 轮, 损失: 12.3452, val loss 3.8801
第 386 轮, 损失: 4.4983, val loss 3.7455
第 387 轮, 损失: 9.7243, val loss 3.8519
第 388 轮, 损失: 7.8917, val loss 3.7824
第 389 轮, 损失: 4.2532, val loss 3.8239
第 390 轮, 损失: 8.5364, val loss 3.7503
第 391 轮, 损失: 7.2847, val loss 3.7276
第 392 轮, 损失: 4.3920, val loss 3.7398
第 393 轮, 损失: 2.8373, val loss 3.7589
第 394 轮, 损失: 10.8252, val loss 3.7379
第 395 轮, 损失: 3.7996, val loss 3.7142
第 396 轮, 损失: 7.7645, val loss 3.8064
第 397 轮, 损失: 1.4999, val loss 3.7549
第 398 轮, 损失: 3.7477, val loss 3.7929
第 399 轮, 损失: 4.8755, val loss 3.8078
第 400 轮, 损失: 7.3815, val loss 3.7605
第 401 轮, 损失: 5.6191, val loss 3.6888
第 402 轮, 损失: 4.7872, val loss 3.74
第 403 轮, 损失: 9.5375, val loss 3.8242
第 404 轮, 损失: 6.1465, val loss 3.8974
第 405 轮, 损失: 4.9205, val loss 3.7976
第 406 轮, 损失: 8.5121, val loss 3.7447
第 407 轮, 损失: 4.6965, val loss 3.7
第 408 轮, 损失: 4.9640, val loss 3.7007
第 409 轮, 损失: 9.3257, val loss 3.761
第 410 轮, 损失: 7.5921, val loss 3.7487
第 411 轮, 损失: 9.9008, val loss 3.7001
第 412 轮, 损失: 6.4010, val loss 3.7748
第 413 轮, 损失: 5.4589, val loss 3.7267
第 414 轮, 损失: 7.1991, val loss 3.7317
第 415 轮, 损失: 7.6829, val loss 3.7058
第 416 轮, 损失: 6.7636, val loss 3.7175
第 417 轮, 损失: 7.1296, val loss 3.6768
第 418 轮, 损失: 6.0240, val loss 3.6623
第 419 轮, 损失: 10.4829, val loss 3.7571
第 420 轮, 损失: 1.8722, val loss 3.6404
第 421 轮, 损失: 6.9381, val loss 3.6849
第 422 轮, 损失: 17.7767, val loss 3.7464
第 423 轮, 损失: 4.8730, val loss 3.7137
第 424 轮, 损失: 3.7128, val loss 3.7179
第 425 轮, 损失: 9.0112, val loss 3.6217
第 426 轮, 损失: 6.6984, val loss 3.662
第 427 轮, 损失: 5.1665, val loss 3.783
第 428 轮, 损失: 5.4306, val loss 3.7424
第 429 轮, 损失: 4.5816, val loss 3.6426
第 430 轮, 损失: 4.5690, val loss 3.65
第 431 轮, 损失: 5.9195, val loss 3.6609
第 432 轮, 损失: 8.0981, val loss 3.7525
第 433 轮, 损失: 8.1959, val loss 3.7469
第 434 轮, 损失: 3.0267, val loss 3.7056
第 435 轮, 损失: 6.1346, val loss 3.7153
第 436 轮, 损失: 6.6473, val loss 3.6984
第 437 轮, 损失: 9.6935, val loss 3.7237
第 438 轮, 损失: 6.7603, val loss 3.6529
第 439 轮, 损失: 8.9785, val loss 3.6437
第 440 轮, 损失: 5.1891, val loss 3.6722
第 441 轮, 损失: 2.4754, val loss 3.7139
第 442 轮, 损失: 5.8822, val loss 3.6409
第 443 轮, 损失: 4.2500, val loss 3.6443
第 444 轮, 损失: 3.4361, val loss 3.5922
第 445 轮, 损失: 7.4824, val loss 3.665
第 446 轮, 损失: 5.7129, val loss 3.6565
第 447 轮, 损失: 7.6192, val loss 3.6941
第 448 轮, 损失: 10.6161, val loss 3.6313
第 449 轮, 损失: 2.3074, val loss 3.6645
第 450 轮, 损失: 4.3734, val loss 3.6503
第 451 轮, 损失: 13.7289, val loss 3.5607
第 452 轮, 损失: 9.2050, val loss 3.6755
第 453 轮, 损失: 16.4441, val loss 3.6393
第 454 轮, 损失: 8.1747, val loss 3.6454
第 455 轮, 损失: 4.9983, val loss 3.5645
第 456 轮, 损失: 10.0199, val loss 3.5888
第 457 轮, 损失: 5.0927, val loss 3.7151
第 458 轮, 损失: 6.1971, val loss 3.6045
第 459 轮, 损失: 6.2233, val loss 3.6429
第 460 轮, 损失: 10.0368, val loss 3.5826
第 461 轮, 损失: 7.6343, val loss 3.7168
第 462 轮, 损失: 9.3003, val loss 3.5137
第 463 轮, 损失: 10.8392, val loss 3.6786
第 464 轮, 损失: 7.1429, val loss 3.56
第 465 轮, 损失: 5.2892, val loss 3.6314
第 466 轮, 损失: 7.4627, val loss 3.5264
第 467 轮, 损失: 4.9884, val loss 3.5148
第 468 轮, 损失: 12.0665, val loss 3.581
第 469 轮, 损失: 4.8676, val loss 3.6004
第 470 轮, 损失: 5.1249, val loss 3.5829
第 471 轮, 损失: 4.6727, val loss 3.7426
第 472 轮, 损失: 4.5554, val loss 3.5515
第 473 轮, 损失: 2.7446, val loss 3.6418
第 474 轮, 损失: 3.1485, val loss 3.5478
第 475 轮, 损失: 6.7210, val loss 3.6031
第 476 轮, 损失: 2.3870, val loss 3.6058
第 477 轮, 损失: 4.0275, val loss 3.5769
第 478 轮, 损失: 12.8674, val loss 3.5752
第 479 轮, 损失: 5.7414, val loss 3.5021
第 480 轮, 损失: 2.6257, val loss 3.4958
第 481 轮, 损失: 6.1824, val loss 3.5609
第 482 轮, 损失: 6.4968, val loss 3.5369
第 483 轮, 损失: 12.2370, val loss 3.7061
第 484 轮, 损失: 7.9302, val loss 3.5716
第 485 轮, 损失: 4.1751, val loss 3.5283
第 486 轮, 损失: 5.7614, val loss 3.5342
第 487 轮, 损失: 6.7555, val loss 3.5044
第 488 轮, 损失: 4.4117, val loss 3.5242
第 489 轮, 损失: 6.0481, val loss 3.5304
第 490 轮, 损失: 8.1276, val loss 3.6285
第 491 轮, 损失: 7.8073, val loss 3.5272
第 492 轮, 损失: 6.5271, val loss 3.5041
第 493 轮, 损失: 8.2442, val loss 3.5193
第 494 轮, 损失: 3.4290, val loss 3.5205
第 495 轮, 损失: 1.1954, val loss 3.4779
第 496 轮, 损失: 4.2361, val loss 3.4988
第 497 轮, 损失: 4.5868, val loss 3.5167
第 498 轮, 损失: 3.0290, val loss 3.4583
第 499 轮, 损失: 6.7015, val loss 3.556
第 500 轮, 损失: 6.9081, val loss 3.4889
第 501 轮, 损失: 9.0473, val loss 3.5373
第 502 轮, 损失: 11.9557, val loss 3.5153
第 503 轮, 损失: 8.4226, val loss 3.4717
第 504 轮, 损失: 4.7089, val loss 3.4768
第 505 轮, 损失: 6.8168, val loss 3.5085
第 506 轮, 损失: 6.9339, val loss 3.4861
第 507 轮, 损失: 12.3900, val loss 3.4874
第 508 轮, 损失: 10.5754, val loss 3.4981
第 509 轮, 损失: 5.6531, val loss 3.5569
第 510 轮, 损失: 2.7196, val loss 3.4837
第 511 轮, 损失: 4.4516, val loss 3.4545
第 512 轮, 损失: 10.3057, val loss 3.4957
第 513 轮, 损失: 4.5214, val loss 3.4773
第 514 轮, 损失: 5.3828, val loss 3.4625
第 515 轮, 损失: 7.2339, val loss 3.5212
第 516 轮, 损失: 3.4815, val loss 3.4089
第 517 轮, 损失: 9.6562, val loss 3.4323
第 518 轮, 损失: 1.9582, val loss 3.4813
第 519 轮, 损失: 4.4635, val loss 3.4844
第 520 轮, 损失: 2.6025, val loss 3.4491
第 521 轮, 损失: 4.7738, val loss 3.4361
第 522 轮, 损失: 5.5610, val loss 3.445
第 523 轮, 损失: 5.0986, val loss 3.425
第 524 轮, 损失: 9.9046, val loss 3.3715
第 525 轮, 损失: 7.4092, val loss 3.3896
第 526 轮, 损失: 5.9995, val loss 3.3477
第 527 轮, 损失: 3.2291, val loss 3.4403
第 528 轮, 损失: 2.4784, val loss 3.4198
第 529 轮, 损失: 8.1716, val loss 3.3746
第 530 轮, 损失: 8.0829, val loss 3.3832
第 531 轮, 损失: 3.7328, val loss 3.4899
第 532 轮, 损失: 3.9349, val loss 3.4496
第 533 轮, 损失: 9.0268, val loss 3.4333
第 534 轮, 损失: 3.2053, val loss 3.5038
第 535 轮, 损失: 7.3896, val loss 3.4722
第 536 轮, 损失: 4.0847, val loss 3.5357
第 537 轮, 损失: 10.1481, val loss 3.3603
第 538 轮, 损失: 3.8379, val loss 3.3962
第 539 轮, 损失: 1.9881, val loss 3.3636
